timestamp_ns sk_sndbuf sk_wmem_queued bytes_sent bytes_acked snd_ssthresh snd_cwnd snd_wnd
2007960940705 4194304 1018288 1799669 1147222 482 486 2666240
2007960945028 4194304 1014544 1799669 1150070 482 486 2666240
2007960946839 4194304 1014544 1799669 1150070 482 486 2666240
2007960953134 4194304 948608 1863749 1214214 482 489 2666240
2007960954906 4194304 948608 1863749 1214214 482 489 2666240
2007960960646 4194304 883632 1927829 1278294 482 491 2666240
2007960962526 4194304 883632 1927829 1278294 482 491 2666240
2007960966123 4194304 879888 1927829 1281142 482 491 2666240
2007960967960 4194304 879888 1927829 1281142 482 491 2666240
2007962269293 4194304 813952 1991909 1345286 482 493 2666240
2007962280441 4194304 813952 1991909 1345286 482 493 2666240
2007962306647 4194304 748976 2055989 1409366 482 496 2666240
2007962308936 4194304 748976 2055989 1409366 482 496 2666240
2007962317146 4194304 684000 2120069 1473446 482 498 2666240
2007962318979 4194304 684000 2120069 1473446 482 498 2666240
2007962326145 4194304 619920 2145701 1537526 482 500 2666240
2007962327940 4194304 619920 2145701 1537526 482 500 2666240
2007962332768 4194304 613328 2145701 1543222 482 500 2666240
2007962334580 4194304 613328 2145701 1543222 482 500 2666240
2007962341753 4194304 547328 2145797 1607430 482 503 2666240
2007962343665 4194304 547328 2145797 1607430 482 503 2666240
2007963161749 4194304 953200 2340949 1671510 482 505 2666240
2007963173146 4194304 953200 2340949 1671510 482 505 2666240
2007963203096 4194304 888224 2405029 1735590 482 507 2602240
2007963205461 4194304 888224 2405029 1735590 482 507 2602240
2007963213465 4194304 823248 2469109 1799670 482 509 2602240
2007963215316 4194304 823248 2469109 1799670 482 509 2602240
2007963221503 4194304 758272 2533189 1863750 482 512 2602240
2007963223290 4194304 758272 2533189 1863750 482 512 2602240
2007963229742 4194304 693296 2597269 1927830 482 514 2602240
2007963231506 4194304 693296 2597269 1927830 482 514 2602240
2007963250738 4194304 629216 2607237 1991910 482 516 2602240
2007963252756 4194304 629216 2607237 1991910 482 516 2602240
2007963258201 4194304 564240 2607237 2055990 482 518 2602240
2007963259944 4194304 564240 2607237 2055990 482 518 2602240
2007963273252 4194304 499264 2607237 2120070 482 521 2602240
2007963275194 4194304 499264 2607237 2120070 482 521 2602240
2007963906556 4194304 472736 2607237 2145702 482 521 2602240
2007963912577 4194304 472736 2607237 2145702 482 521 2602240
2007963944581 4194304 406768 2607237 2209878 482 524 2538112
2007963946699 4194304 406768 2607237 2209878 482 524 2538112
2007963950859 4194304 341792 2607237 2273958 482 526 2538112
2007963952792 4194304 341792 2607237 2273958 482 526 2538112
2007963956200 4194304 338048 2607237 2276806 482 526 2538112
2007963957982 4194304 338048 2607237 2276806 482 526 2538112
2007964349354 4194304 1458256 3056245 2340950 482 528 2538112
2007964357111 4194304 1458256 3056245 2340950 482 528 2538112
2007964377380 4194304 1393280 3120325 2405030 482 531 2714112
2007964379436 4194304 1393280 3120325 2405030 482 531 2714112
2007964385998 4194304 1328304 3184405 2469110 482 533 2714112
2007964387798 4194304 1328304 3184405 2469110 482 533 2714112
2007964405456 4194304 1263328 3251621 2533190 482 535 2714112
2007964407349 4194304 1263328 3251621 2533190 482 535 2714112
2007964420027 4194304 1198352 3315701 2597270 482 537 2714112
2007964422018 4194304 1198352 3315701 2597270 482 537 2714112
2007964778448 4194304 1188384 3371237 2607238 482 538 2704256
2007964781878 4194304 1188384 3371237 2607238 482 538 2704256
2007964799237 4194304 1122064 3379781 2671766 482 540 3009920
2007964801133 4194304 1122064 3379781 2671766 482 540 3009920
2007964807907 4194304 1057088 3443861 2735846 482 542 3009920
2007964809711 4194304 1057088 3443861 2735846 482 542 3009920
2007964816508 4194304 992112 3572021 2799926 482 545 3009920
2007964818302 4194304 992112 3572021 2799926 482 545 3009920
2007964823605 4194304 927136 3636101 2864006 482 547 3009920
2007964825374 4194304 927136 3636101 2864006 482 547 3009920
2007964834873 4194304 910944 3700181 2928086 482 549 3009920
2007964837540 4194304 910944 3700181 2928086 482 549 3009920
2007965333027 4194304 1845696 3823797 3056246 482 554 3009920
2007965341078 4194304 1845696 3823797 3056246 482 554 3009920
2007966348072 4194304 1780720 3887877 3120326 482 556 3112320
2007966352343 4194304 1780720 3887877 3120326 482 556 3112320
2007966379018 4194304 1715744 3951957 3184406 482 558 3048320
2007966381383 4194304 1715744 3951957 3184406 482 558 3048320
2007966409649 4194304 1656976 4016037 3242278 482 560 3051520
2007966411899 4194304 1656976 4016037 3242278 482 560 3051520
2007966416803 4194304 1646736 4016037 3251622 482 560 3051520
2007966418523 4194304 1646736 4016037 3251622 482 560 3051520
2007966427532 4194304 1581760 4080117 3315702 482 563 2987648
2007966429392 4194304 1581760 4080117 3315702 482 563 2987648
2007966437205 4194304 1525328 4144197 3371238 482 565 2932224
2007966439051 4194304 1525328 4144197 3371238 482 565 2932224
2007966443016 4194304 1515888 4144197 3379782 482 565 2923776
2007966444778 4194304 1515888 4144197 3379782 482 565 2923776
2007966451922 4194304 1450912 4208277 3443862 482 567 2859776
2007966453737 4194304 1450912 4208277 3443862 482 567 2859776
2007966460458 4194304 1385936 4272357 3507942 482 569 2795776
2007966462282 4194304 1385936 4272357 3507942 482 569 2795776
2007966687417 4194304 1320960 4336437 3572022 482 572 2731776
2007966694533 4194304 1320960 4336437 3572022 482 572 2731776
2007966721856 4194304 1256960 4400517 3636102 482 574 2667776
2007966724219 4194304 1256960 4400517 3636102 482 574 2667776
2007966733229 4194304 1192064 4464597 3700182 482 576 2603776
2007966735088 4194304 1192064 4464597 3700182 482 576 2603776
2007966742922 4194304 1127168 4528677 3764262 482 578 2539776
2007966744677 4194304 1127168 4528677 3764262 482 578 2539776
2007967870031 4194304 1911808 4592757 3775910 482 579 2528128
2007967876325 4194304 1911808 4592757 3775910 482 579 2528128
2007967897819 4194304 1864816 4649717 3822902 482 581 3077504
2007967899975 4194304 1864816 4649717 3822902 482 581 3077504
2007968298808 4194304 1798048 4656837 3887878 482 583 3077504
2007968305330 4194304 1798048 4656837 3887878 482 583 3077504
2007968323014 4194304 1733072 4784997 3951958 482 585 3047680
2007968325215 4194304 1733072 4784997 3951958 482 585 3047680
2007968332699 4194304 1668096 4849077 4016038 482 587 2983680
2007968334530 4194304 1668096 4849077 4016038 482 587 2983680
2007968345397 4194304 1604048 4872373 4080118 482 590 2919680
2007968347314 4194304 1604048 4872373 4080118 482 590 2919680
2007968356377 4194304 1539152 4936453 4144198 482 592 2855680
2007968358205 4194304 1539152 4936453 4144198 482 592 2855680
2007968662657 4194304 1474256 5000533 4208278 482 594 2791680
2007968670814 4194304 1474256 5000533 4208278 482 594 2791680
2007969729388 4194304 1409280 5064613 4272358 482 596 2910208
2007969734012 4194304 1409280 5064613 4272358 482 596 2910208
2007969742379 4194304 1344304 5128693 4336438 482 599 3047680
2007969744160 4194304 1344304 5128693 4336438 482 599 3047680
2007969750462 4194304 1279328 5192773 4400518 482 601 2983680
2007969752173 4194304 1279328 5192773 4400518 482 601 2983680
2007969771088 4194304 1214352 5320933 4464598 482 603 2919680
2007969773136 4194304 1214352 5320933 4464598 482 603 2919680
2007969780983 4194304 1149376 5385013 4528678 482 605 2855680
2007969782820 4194304 1149376 5385013 4528678 482 605 2855680
2007969789111 4194304 1084400 5449093 4592758 482 608 2791680
2007969790919 4194304 1084400 5449093 4592758 482 608 2791680
2007969797541 4194304 1026544 5513173 4649718 482 610 2734720
2007969799360 4194304 1026544 5513173 4649718 482 610 2734720
2007969803071 4194304 1018528 5513173 4656838 482 610 2727680
2007969804822 4194304 1018528 5513173 4656838 482 610 2727680
2007969819015 4194304 953552 5577253 4720918 482 612 2938112
2007969820940 4194304 953552 5577253 4720918 482 612 2938112
2007969826157 4194304 888576 5577253 4784998 482 614 2874112
2007969827972 4194304 888576 5577253 4784998 482 614 2874112
2007969832533 4194304 823600 5577253 4849078 482 617 2810112
2007969834306 4194304 823600 5577253 4849078 482 617 2810112
2007969850674 4194304 799408 5641333 4872374 482 617 2786816
2007969852662 4194304 799408 5641333 4872374 482 617 2786816
2007969856866 4194304 734432 5641333 4936454 482 620 2722816
2007969858732 4194304 734432 5641333 4936454 482 620 2722816
2007969862118 4194304 669456 5641333 5000534 482 622 2658816
2007969863865 4194304 669456 5641333 5000534 482 622 2658816
2007971085837 4194304 604480 5659045 5064614 482 624 2594816
2007971097736 4194304 604480 5659045 5064614 482 624 2594816
2007971140988 4194304 546496 5663509 5128694 482 626 3013504
2007971143356 4194304 546496 5663509 5128694 482 626 3013504
2007971149197 4194304 481520 5663509 5192774 482 629 2949504
2007971150987 4194304 481520 5663509 5192774 482 629 2949504
2007971155898 4194304 416544 5663509 5256854 482 631 2885504
2007971157680 4194304 416544 5663509 5256854 482 631 2885504
2007971162120 4194304 351568 5663509 5320934 482 633 2821504
2007971163891 4194304 351568 5663509 5320934 482 633 2821504
2007971203181 4194304 286592 5663509 5385014 482 635 2757504
2007971205179 4194304 286592 5663509 5385014 482 635 2757504
2007971209917 4194304 221616 5663509 5449094 482 638 2693504
2007971211617 4194304 221616 5663509 5449094 482 638 2693504
2007971216200 4194304 156640 5663509 5513174 482 640 2629504
2007971217906 4194304 156640 5663509 5513174 482 640 2629504
2007971222418 4194304 91664 5663509 5577254 482 642 2565504
2007971224160 4194304 91664 5663509 5577254 482 642 2565504
2007971234456 4194304 26688 5663509 5641334 482 644 2949504
2007971236387 4194304 26688 5663509 5641334 482 644 2949504
2007971310793 4194304 42600 5695765 5659046 482 645 2931840
2007971313384 4194304 42600 5695765 5659046 482 645 2931840
2007971596205 4194304 36344 5695765 5663510 482 645 2927488
2007971602666 4194304 36344 5695765 5663510 482 645 2927488
2007972444775 4194304 539128 6221325 5695766 482 645 2895232
2007972448327 4194304 539128 6221325 5695766 482 645 2895232
2007972456377 4194304 471856 6221325 5761246 482 645 2979968
2007972458172 4194304 471856 6221325 5761246 482 645 2979968
2007972462275 4194304 406880 6221325 5825326 482 645 2979968
2007972463933 4194304 406880 6221325 5825326 482 645 2979968
2007972467240 4194304 403136 6221325 5828174 482 645 2979968
2007972468850 4194304 403136 6221325 5828174 482 645 2979968
2007972472687 4194304 337200 6221325 5892318 482 645 2979968
2007972474602 4194304 337200 6221325 5892318 482 645 2979968
2007972478084 4194304 272224 6221325 5956398 482 645 2979968
2007972479675 4194304 272224 6221325 5956398 482 645 2979968
2007972493688 4194304 268480 6221325 5959246 482 645 2979968
2007972495370 4194304 268480 6221325 5959246 482 645 2979968
2007972504783 4194304 202544 6221453 6023390 482 645 2937600
2007972506498 4194304 202544 6221453 6023390 482 645 2937600
2007972510189 4194304 137568 6221453 6087470 482 645 2937600
2007972511782 4194304 137568 6221453 6087470 482 645 2937600
2007972515199 4194304 72592 6221453 6151550 482 645 2937600
2007972516782 4194304 72592 6221453 6151550 482 645 2937600
2007972679049 4194304 409792 6614541 6215630 482 645 2937600
2007972682094 4194304 409792 6614541 6215630 482 645 2937600
2007973087882 4194304 403200 6614541 6221326 482 645 2980608
2007973091189 4194304 403200 6614541 6221326 482 645 2980608
2007973098489 4194304 337200 6614541 6285534 482 645 2916480
2007973100047 4194304 337200 6614541 6285534 482 645 2916480
2007973103461 4194304 272224 6614541 6349614 482 645 2916480
2007973104975 4194304 272224 6614541 6349614 482 645 2916480
2007973119798 4194304 268480 6614541 6352462 482 645 2916480
2007973121576 4194304 268480 6614541 6352462 482 645 2916480
2007973419454 4194304 872240 7269901 6416606 482 645 2916480
2007973425641 4194304 872240 7269901 6416606 482 645 2916480
2007973435190 4194304 807264 7269901 6480686 482 645 2916480
2007973437041 4194304 807264 7269901 6480686 482 645 2916480
2007973441042 4194304 742288 7269901 6544766 482 645 2916480
2007973442986 4194304 742288 7269901 6544766 482 645 2916480
2007973446265 4194304 677312 7269901 6608846 482 645 2916480
2007973447990 4194304 677312 7269901 6608846 482 645 2916480
2007973751747 4194304 937344 7269901 6614542 482 645 2916480
2007973758146 4194304 937344 7269901 6614542 482 645 2916480
2007973778805 4194304 872240 7532045 6678750 482 645 2852352
2007973780804 4194304 872240 7532045 6678750 482 645 2852352
2007973785003 4194304 807264 7532045 6742830 482 645 2852352
2007973786769 4194304 807264 7532045 6742830 482 645 2852352
2007973790043 4194304 803520 7532045 6745678 482 645 2852352
2007973791765 4194304 803520 7532045 6745678 482 645 2852352
2007973795998 4194304 737584 7532045 6809822 482 645 2852352
2007973797718 4194304 737584 7532045 6809822 482 645 2852352
2007973805740 4194304 672608 7532045 6873902 482 645 2852352
2007973807582 4194304 672608 7532045 6873902 482 645 2852352
2007973811028 4194304 607632 7532045 6937982 482 645 2852352
2007973812789 4194304 607632 7532045 6937982 482 645 2852352
2007973816093 4194304 542656 7532045 7002062 482 645 2852352
2007973817845 4194304 542656 7532045 7002062 482 645 2852352
2007974003847 4194304 536064 7532045 7007758 482 645 2852352
2007974008856 4194304 536064 7532045 7007758 482 645 2852352
2007974015309 4194304 470064 7532045 7071966 482 645 2836608
2007974016976 4194304 470064 7532045 7071966 482 645 2836608
2007974020775 4194304 405088 7532045 7136046 482 645 2836608
2007974022409 4194304 405088 7532045 7136046 482 645 2836608
2007974025716 4194304 340112 7532045 7200126 482 645 2836608
2007974027336 4194304 340112 7532045 7200126 482 645 2836608
2007974326284 4194304 409792 7663181 7264206 482 645 2836608
2007974331477 4194304 409792 7663181 7264206 482 645 2836608
2007974358669 4194304 403200 7663181 7269902 482 645 2836608
2007974360826 4194304 403200 7663181 7269902 482 645 2836608
2007974364884 4194304 337200 7663181 7334110 482 645 2772480
2007974366897 4194304 337200 7663181 7334110 482 645 2772480
2007974371016 4194304 272224 7663181 7398190 482 645 2772480
2007974372740 4194304 272224 7663181 7398190 482 645 2772480
2007974377296 4194304 207248 7663181 7462270 482 645 2772480
2007974379044 4194304 207248 7663181 7462270 482 645 2772480
2007974639160 4194304 276032 7663181 7526350 482 645 2772480
2007974644346 4194304 276032 7663181 7526350 482 645 2772480
2007974985403 4194304 270336 7794253 7532046 482 645 2873472
2007974988398 4194304 270336 7794253 7532046 482 645 2873472
2007974992921 4194304 204336 7794253 7596254 482 645 2809344
2007974994791 4194304 204336 7794253 7596254 482 645 2809344
2007974998297 4194304 139360 7794253 7660334 482 645 2809344
2007975000106 4194304 139360 7794253 7660334 482 645 2809344
2007975617930 4194304 270272 7925325 7663182 482 645 2809344
2007975623833 4194304 270272 7925325 7663182 482 645 2809344
2007975629402 4194304 204336 7925325 7727326 482 645 2835072
2007975631200 4194304 204336 7925325 7727326 482 645 2835072
2007975634919 4194304 139360 7925325 7791406 482 645 2835072
2007975636689 4194304 139360 7925325 7791406 482 645 2835072
2007976408355 4194304 543616 8320781 7794254 482 645 2913664
2007976413857 4194304 543616 8320781 7794254 482 645 2913664
2007976422531 4194304 477680 8320781 7858398 482 645 2913664
2007976424309 4194304 477680 8320781 7858398 482 645 2913664
2007976428257 4194304 412704 8320781 7922478 482 645 2913664
2007976430017 4194304 412704 8320781 7922478 482 645 2913664
2007976561646 4194304 408960 8320781 7925326 482 645 2913664
2007976564048 4194304 408960 8320781 7925326 482 645 2913664
2007976569331 4194304 343024 8320781 7989470 482 645 2849536
2007976570956 4194304 343024 8320781 7989470 482 645 2849536
2007976574726 4194304 278048 8320781 8053550 482 645 2849536
2007976576334 4194304 278048 8320781 8053550 482 645 2849536
2007976715931 4194304 304752 8349325 8056398 482 645 2849536
2007976721743 4194304 304752 8349325 8056398 482 645 2849536
2007976733734 4194304 166064 8349325 8189710 482 645 2849536
2007976736228 4194304 166064 8349325 8189710 482 645 2849536
2007976749939 4194304 100128 8349325 8253854 482 645 2849536
2007976751721 4194304 100128 8349325 8253854 482 645 2849536
2007976755860 4194304 35152 8349325 8317934 482 645 2849536
2007976757709 4194304 35152 8349325 8317934 482 645 2849536
2007977904188 4194304 300720 8611581 8320782 482 645 2849536
2007977907419 4194304 300720 8611581 8320782 482 645 2849536
2007977915990 4194304 270384 8611581 8349326 482 645 2873600
2007977917668 4194304 270384 8611581 8349326 482 645 2873600
2007977922273 4194304 204336 8611581 8413582 482 645 2842112
2007977923912 4194304 204336 8611581 8413582 482 645 2842112
2007977927217 4194304 139360 8611581 8477662 482 645 2842112
