timestamp_ns sk_sndbuf sk_wmem_queued bytes_sent bytes_acked snd_ssthresh snd_cwnd snd_wnd
16385739939318 87040 933 37 1 2147483647 10 65160
16385739983568 87040 933 37 1 2147483647 10 65160
16385740016902 87040 0 37 38 2147483647 10 65152
16385740020643 87040 0 37 38 2147483647 10 65152
16385740407432 87040 1934 179 38 2147483647 10 65152
16385740411349 87040 1934 179 38 2147483647 10 65152
16385741018814 87040 0 179 180 2147483647 10 65024
16385741031845 87040 0 179 180 2147483647 10 65024
16385741843477 87040 933 37 1 2147483647 10 65160
16385741852825 87040 933 37 1 2147483647 10 65160
16385742340881 87040 0 37 38 2147483647 10 65152
16385742349237 87040 0 37 38 2147483647 10 65152
16385744872685 87040 0 179 180 2147483647 10 65024
16385744884746 87040 0 179 180 2147483647 10 65024
16385744891779 87040 0 179 180 2147483647 10 65024
16385744893634 87040 0 179 180 2147483647 10 65024
16385745495704 87040 6640 5781 38 2147483647 10 65152
16385745502613 87040 6640 5781 38 2147483647 10 65152
16385745661015 87040 10096 14085 5782 2147483647 10 59520
16385745669101 87040 10096 14085 5782 2147483647 10 59520
16385745726360 87040 2080 14085 12902 2147483647 15 58368
16385745729493 87040 2080 14085 12902 2147483647 15 58368
16385746185319 87040 20584 32877 14086 2147483647 15 57216
16385746188893 87040 20584 32877 14086 2147483647 15 57216
16385746199646 87040 9720 32877 24054 2147483647 22 59520
16385746201429 87040 9720 32877 24054 2147483647 22 59520
16385746493327 87040 2160 34141 32878 2147483647 29 54912
16385746499167 87040 2160 34141 32878 2147483647 29 54912
16385746631346 252416 3488 36733 34142 2147483647 29 64128
16385746636302 252416 3488 36733 34142 2147483647 29 64128
16385746793765 252416 10480 46317 36734 2147483647 29 64128
16385746798579 252416 10480 46317 36734 2147483647 29 64128
16385746927600 252416 22656 67181 46318 2147483647 29 64128
16385746932404 252416 22656 67181 46318 2147483647 29 64128
16385747197706 252416 1824 67181 66254 2147483647 43 46720
16385747203793 252416 1824 67181 66254 2147483647 43 46720
16385747460946 252416 35416 99909 67182 43 43 64128
16385747464223 252416 35416 99909 67182 43 43 64128
16385747475558 374272 4616 99909 97086 43 43 49280
16385747477293 374272 4616 99909 97086 43 43 49280
16385747660780 374272 34088 131309 99910 43 43 47744
16385747666770 374272 34088 131309 99910 43 43 47744
16385747673165 374272 3288 131309 129814 43 43 52736
16385747675304 374272 3288 131309 129814 43 43 52736
16385748141348 374272 34088 162709 131310 43 43 52736
16385748145375 374272 34088 162709 131310 43 43 52736
16385748206991 374272 38824 193301 161214 43 43 33920
16385748209500 374272 38824 193301 161214 43 43 33920
16385748280406 374272 35536 193301 162710 43 43 53888
16385748283453 374272 35536 193301 162710 43 43 53888
16385748315014 374272 23248 193301 174102 43 43 58496
16385748317410 374272 23248 193301 174102 43 43 58496
16385748453344 374272 2256 194661 193302 43 43 58496
16385748459896 374272 2256 194661 193302 43 43 58496
16385748712160 374272 27984 221749 194662 43 43 64128
16385748715435 374272 27984 221749 194662 43 43 64128
16385748928285 374272 4920 225773 221750 43 43 129664
16385748934530 374272 4920 225773 221750 43 43 129664
16385749545575 374272 40888 261677 225774 43 43 126336
16385749553069 374272 40888 261677 225774 43 43 126336
16385749662350 374272 35416 263077 230350 43 43 241152
16385749665362 374272 35416 263077 230350 43 43 241152
16385749676926 374272 4616 263077 260254 43 43 244096
16385749678866 374272 4616 263077 260254 43 43 244096
16385749693436 374272 2296 263077 261678 43 43 244096
16385749695540 374272 2296 263077 261678 43 43 244096
16385749840697 374272 22904 285085 263078 43 43 244096
16385749847377 374272 22904 285085 263078 43 43 244096
16385750334010 374272 121136 346293 285086 43 43 298240
16385750337573 374272 121136 346293 285086 43 43 298240
16385750354435 374272 91232 377597 314990 43 44 387968
16385750356739 374272 91232 377597 314990 43 44 387968
16385750361949 374272 87512 377597 317814 43 44 385280
16385750363986 374272 87512 377597 317814 43 44 385280
16385750473862 374272 59032 400357 346294 43 45 367488
16385750476916 374272 59032 400357 346294 43 45 367488
16385750483111 374272 53888 400357 350542 43 45 474880
16385750484866 374272 53888 400357 350542 43 45 474880
16385750503646 374272 25936 400357 377598 43 46 448000
16385750505652 374272 25936 400357 377598 43 46 448000
16385750558768 374272 47944 426477 383270 43 46 552456
16385750560796 374272 47944 426477 383270 43 46 552456
16385751107856 374272 202272 460357 400358 43 46 475648
16385751111719 374272 202272 460357 400358 43 46 475648
16385751123619 374272 200888 460357 400846 43 46 552448
16385751125517 374272 200888 460357 400846 43 46 552448
16385751140968 374272 174360 493085 426478 43 47 565888
16385751143103 374272 174360 493085 426478 43 47 565888
16385751152415 374272 172312 493085 427630 43 47 588928
16385751154430 374272 172312 493085 427630 43 47 588928
16385751167902 374272 140984 526813 458958 43 48 625792
16385751170050 374272 140984 526813 458958 43 48 625792
16385751307495 374272 138688 528213 460358 43 48 739584
16385751313393 374272 138688 528213 460358 43 48 739584
16385751344386 374272 105960 562365 493086 43 49 808064
16385751347006 374272 105960 562365 493086 43 49 808064
16385751389807 374272 102664 562365 495486 43 49 805760
16385751392246 374272 102664 562365 495486 43 49 805760
16385751412672 374272 71336 592269 526814 43 50 953216
16385751414529 374272 71336 592269 526814 43 50 953216
16385751463315 374272 104616 600789 528214 43 51 951936
16385751466376 374272 104616 600789 528214 43 51 951936
16385751478293 374272 70992 623357 560942 43 52 919296
16385751480113 374272 70992 623357 560942 43 52 919296
16385751955892 374272 205120 626557 562366 43 52 917888
16385751962305 374272 205120 626557 562366 43 52 917888
16385751981455 374272 174320 659285 592270 43 53 888064
16385751985755 374272 174320 659285 592270 43 53 888064
16385751990928 374272 172024 659285 593670 43 53 886784
16385751992961 374272 172024 659285 593670 43 53 886784
16385751996771 374272 164008 659285 600790 43 53 1000192
16385752009387 374272 164008 659285 600790 43 53 1000192
16385752023880 374272 140544 692013 623358 43 54 977792
16385752026031 374272 140544 692013 623358 43 54 977792
16385752120988 374272 136800 692013 626206 43 54 977792
16385752123908 374272 136800 692013 626206 43 54 977792
16385752139843 374272 102824 737557 659286 43 55 1208192
16385752142004 374272 102824 737557 659286 43 55 1208192
16385752433100 374272 138240 770445 692014 43 56 1175552
16385752439386 374272 138240 770445 692014 43 56 1175552
16385752459865 374272 104616 790357 724742 43 57 1222912
16385752462233 374272 104616 790357 724742 43 57 1222912
16385752471751 374272 91800 818837 737558 43 58 1310720
16385752473661 374272 91800 818837 737558 43 58 1310720
16385752477380 374272 74832 818837 753630 43 59 1294848
16385752479201 374272 74832 818837 753630 43 59 1294848
16385752485868 374272 104712 818837 756478 43 59 1292032
16385752487982 374272 104712 818837 756478 43 59 1292032
16385752498676 374272 102664 823085 757630 43 59 1313536
